,#,Team,Wins,Losses,Pts,Rbds,Offense,Defense,Diff,Year
391,7,Knicks,54,28,4.23,-1.09,111.05,106.35,4.70,2013
392,8,Pacers,49,32,4.03,4.96,104.27,99.84,4.43,2013
393,9,Nets,49,33,1.78,3.59,108.16,106.17,1.99,2013
394,10,Warriors,47,35,0.89,2.22,106.41,105.47,0.94,2013
395,11,Rockets,45,37,3.48,1.82,109.69,106.09,3.60,2013
396,12,Bulls,45,37,0.32,2.07,103.50,103.15,0.35,2013
397,13,Lakers,45,37,1.16,2.13,107.82,106.60,1.22,2013
398,14,Hawks,44,38,0.40,-2.88,104.81,104.38,0.43,2013
399,15,Jazz,43,39,-0.09,1.23,106.71,106.80,-0.09,2013
400,16,Celtics,41,40,-0.22,-4.22,103.08,103.31,-0.24,2013
401,17,Mavericks,41,41,-0.60,-3.70,105.91,106.54,-0.63,2013
402,18,Bucks,38,44,-1.50,-2.09,103.63,105.21,-1.57,2013
403,19,76ers,34,48,-3.34,-2.63,101.99,105.65,-3.66,2013
404,20,Raptors,34,48,-1.48,-1.52,105.93,107.54,-1.61,2013
405,21,Trailblazers,33,49,-3.17,-1.60,105.75,109.19,-3.44,2013
406,22,Timberwolves,31,51,-2.37,-0.10,102.82,105.36,-2.54,2013
407,23,Pistons,29,53,-3.99,0.37,103.77,108.13,-4.36,2013
408,24,Wizards,29,53,-2.54,-1.01,100.25,102.97,-2.73,2013
409,25,Kings,28,54,-4.88,-2.98,106.20,111.37,-5.17,2013
410,26,Pelicans,27,55,-3.87,2.28,105.73,110.08,-4.35,2013
411,27,Suns,25,57,-6.46,-1.73,101.21,108.08,-6.87,2013
412,28,Cavaliers,24,58,-4.68,-1.10,104.31,109.37,-5.06,2013
413,29,Bobcats,21,61,-9.23,-3.78,101.50,111.53,-10.03,2013
414,30,Magic,20,62,-6.99,-0.05,101.58,109.13,-7.54,2013
415,1,Spurs,62,20,7.72,1.05,110.50,102.41,8.10,2014
416,2,Thunder,59,23,6.34,3.80,110.52,103.92,6.60,2014
417,3,Clippers,57,25,6.98,-0.73,112.06,104.82,7.24,2014
418,4,Pacers,56,26,4.40,3.50,104.10,99.36,4.74,2014
419,5,Heat,54,28,4.76,-3.45,110.92,105.75,5.16,2014
420,6,Trailblazers,54,28,3.99,2.95,111.53,107.36,4.17,2014
421,7,Rockets,54,28,4.56,3.70,110.94,106.25,4.70,2014
422,8,Warriors,51,31,4.81,2.00,107.53,102.58,4.96,2014
423,9,Grizzlies,50,32,1.57,3.21,106.33,104.59,1.74,2014
424,10,Mavericks,49,33,2.40,-1.93,111.23,108.68,2.55,2014
425,11,Suns,48,34,2.63,0.21,109.47,106.73,2.74,2014
426,12,Bulls,48,34,1.85,2.90,102.52,100.49,2.03,2014
427,13,Raptors,48,34,3.24,1.54,108.77,105.28,3.48,2014
428,14,Nets,44,38,-1.00,-4.72,106.66,107.74,-1.08,2014
429,15,Wizards,44,38,1.27,-0.01,105.99,104.66,1.34,2014
430,16,Bobcats,43,39,-0.22,-0.62,103.59,103.82,-0.24,2014
431,17,Timberwolves,40,42,2.67,0.55,108.90,106.18,2.72,2014
432,18,Hawks,38,44,-0.48,-3.57,105.92,106.42,-0.50,2014
433,19,Knicks,37,45,-0.79,-1.66,108.26,109.13,-0.87,2014
434,20,Nuggets,36,46,-2.15,1.59,106.02,108.20,-2.18,2014
435,21,Pelicans,34,48,-2.71,0.00,107.23,110.14,-2.91,2014
436,22,Cavaliers,33,49,-3.29,1.56,104.17,107.66,-3.49,2014
437,23,Pistons,29,53,-3.66,2.39,105.91,109.75,-3.84,2014
438,24,Kings,28,54,-2.90,3.21,105.71,108.76,-3.05,2014
439,25,Lakers,27,55,-6.29,-7.96,104.20,110.57,-6.37,2014
440,26,Jazz,25,57,-7.17,-1.28,103.46,111.27,-7.81,2014
441,27,Celtics,25,57,-4.46,0.24,102.90,107.67,-4.77,2014
442,28,Magic,23,59,-5.44,-1.91,101.65,107.38,-5.73,2014
443,29,76ers,19,63,-10.45,-4.16,99.42,109.86,-10.45,2014
444,30,Bucks,15,67,-8.18,-2.38,102.98,111.81,-8.83,2014
445,1,Warriors,67,15,10.07,9.35,123.58,90.48,33.10,2015
446,2,Hawks,60,22,5.44,4.59,117.78,94.00,23.78,2015
447,3,Rockets,56,26,3.44,7.72,117.59,93.51,24.07,2015
448,4,Clippers,56,26,6.59,6.28,121.11,96.92,24.19,2015
449,5,Grizzlies,55,27,3.24,5.25,112.10,96.00,16.11,2015
450,6,Spurs,55,27,6.20,5.04,113.05,97.89,15.16,2015
451,7,Cavaliers,53,29,4.49,10.75,122.81,95.17,27.64,2015
452,8,Trailblazers,51,31,4.23,3.74,110.95,100.77,10.17,2015
453,9,Bulls,50,32,3.00,7.82,114.45,97.46,16.99,2015
454,10,Mavericks,50,32,2.90,-0.93,112.80,103.11,9.69,2015
455,11,Raptors,49,33,3.07,0.94,113.20,105.10,8.10,2015
456,12,Wizards,46,36,0.74,7.78,110.09,97.10,12.99,2015
457,13,Pelicans,45,37,0.79,3.80,110.84,104.77,6.07,2015
458,14,Thunder,45,37,2.18,4.79,107.76,105.49,2.26,2015
459,15,Bucks,41,41,0.44,2.25,105.72,98.71,7.01,2015
460,16,Celtics,40,42,0.16,1.07,106.95,102.13,4.83,2015
461,17,Suns,39,43,-0.90,-2.16,105.29,106.22,-0.93,2015
462,18,Jazz,38,44,0.22,4.72,105.11,104.86,0.24,2015
463,19,Pacers,38,44,0.28,2.13,103.54,103.25,0.30,2015
464,20,Nets,38,44,-2.87,1.22,107.92,103.62,4.30,2015
465,21,Heat,37,45,-2.62,-1.90,103.82,106.70,-2.88,2015
466,22,Hornets,33,49,-3.17,-0.07,100.15,103.53,-3.37,2015
467,23,Pistons,32,50,-1.00,0.79,105.34,106.41,-1.07,2015
468,24,Nuggets,30,52,-3.55,-0.40,104.52,108.18,-3.66,2015
469,25,Kings,29,53,-3.71,2.99,105.35,109.21,-3.85,2015
470,26,Magic,25,57,-5.72,-1.65,101.58,107.66,-6.07,2015
471,27,Lakers,21,61,-6.87,-0.29,103.44,110.63,-7.19,2015
472,28,76ers,18,64,-8.98,-3.40,95.46,104.78,-9.32,2015
473,29,Knicks,17,65,-9.29,-3.12,99.90,110.00,-10.10,2015
474,30,Timberwolves,16,66,-8.82,-2.65,102.90,112.18,-9.28,2015
475,1,Warriors,88,18,9.29,1.18,113.61,104.29,9.32,2016
476,2,Spurs,73,19,10.47,2.59,110.39,99.21,11.18,2016
477,3,Cavaliers,73,30,6.53,3.85,111.80,104.82,6.99,2016
478,4,Thunder,66,34,6.92,8.32,112.89,105.76,7.13,2016
479,5,Raptors,66,36,2.78,1.99,108.63,105.63,3.00,2016
480,6,Clippers,55,33,4.06,-4.64,108.05,103.84,4.21,2016
481,7,Hornets,51,38,1.81,-1.46,106.54,104.66,1.88,2016
482,8,Heat,55,41,1.87,3.23,105.95,103.97,1.98,2016
483,9,Celtics,50,38,2.53,-1.11,105.93,103.37,2.56,2016
484,10,Hawks,52,40,3.11,-4.12,104.89,101.71,3.18,2016
485,11,Pacers,48,41,1.69,-0.69,104.70,102.96,1.74,2016
486,12,Trailblazers,49,44,0.45,1.67,108.77,108.30,0.47,2016
487,13,Bulls,42,40,-1.48,0.35,104.99,106.51,-1.52,2016
488,14,Pistons,44,42,0.19,3.44,106.27,106.08,0.20,2016
489,15,Wizards,41,41,-0.50,-2.43,105.30,105.80,-0.51,2016
490,16,Mavericks,43,44,-1.33,-3.22,106.46,107.86,-1.39,2016
491,17,Grizzlies,42,44,-3.16,-1.55,104.80,108.17,-3.37,2016
492,18,Jazz,40,42,1.79,3.17,105.89,103.93,1.96,2016
493,19,Rockets,42,45,-0.90,-1.28,107.42,108.33,-0.91,2016
494,20,Magic,35,47,-1.62,-0.98,105.11,106.79,-1.67,2016
495,21,Kings,33,49,-2.48,-0.78,105.96,108.42,-2.46,2016
496,22,Nuggets,33,49,-3.10,1.91,105.64,108.85,-3.21,2016
497,23,Bucks,33,49,-4.18,-1.27,104.34,108.75,-4.41,2016
498,24,Knicks,32,50,-2.73,0.18,104.64,107.55,-2.91,2016
499,25,Pelicans,30,52,-3.79,-1.80,105.60,109.50,-3.90,2016
500,26,Timberwolves,29,53,-3.54,-0.35,106.47,110.15,-3.68,2016
501,27,Suns,23,59,-6.66,1.12,102.25,109.00,-6.75,2016
502,28,Nets,21,61,-7.35,-0.99,103.19,110.88,-7.69,2016
503,29,Lakers,17,65,-9.56,-3.48,101.58,111.56,-9.98,2016
504,30,76ers,10,72,-10.23,-6.33,98.83,109.21,-10.38,2016
505,1,Warriors,83,16,11.93,1.26,115.24,103.44,11.81,2017
506,2,Spurs,69,29,6.18,2.72,111.26,104.75,6.52,2017
507,3,Rockets,61,32,5.23,-0.14,114.05,108.84,5.21,2017
508,4,Cavaliers,64,36,4.04,-0.03,114.50,110.34,4.15,2017
509,5,Celtics,62,38,1.64,-3.32,110.86,109.17,1.69,2017
510,6,Clippers,54,35,3.90,-0.03,112.15,108.10,4.06,2017
511,7,Raptors,55,37,3.13,0.92,111.07,107.78,3.29,2017
512,8,Jazz,55,38,2.91,2.54,108.66,105.50,3.16,2017
513,9,Wizards,56,39,1.56,0.07,110.95,109.36,1.59,2017
514,10,Thunder,48,39,0.22,5.59,107.94,107.72,0.22,2017
515,11,Grizzlies,45,43,-0.11,0.20,107.53,107.65,-0.12,2017
516,12,Hawks,45,43,-0.88,0.69,104.60,105.48,-0.89,2017
517,13,Bucks,44,44,-0.11,-2.13,108.37,108.49,-0.12,2017
518,14,Heat,41,41,1.06,0.12,107.74,106.63,1.11,2017
519,15,Bulls,43,45,-0.07,3.24,107.13,107.20,-0.07,2017
520,16,Pacers,42,44,-0.37,-2.08,108.68,109.06,-0.38,2017
521,17,Nuggets,40,42,0.51,5.46,112.76,112.24,0.52,2017
522,18,Trailblazers,41,45,-1.34,-0.48,109.32,110.68,-1.36,2017
523,19,Pistons,37,45,-1.12,2.87,105.54,106.71,-1.17,2017
524,20,Hornets,36,46,0.20,-0.71,108.66,108.45,0.20,2017
525,21,Pelicans,34,48,-2.10,-4.62,104.73,106.84,-2.11,2017
526,22,Mavericks,33,49,-2.93,-5.87,105.39,108.54,-3.15,2017
527,23,Kings,32,50,-3.88,-1.79,107.06,111.10,-4.04,2017
528,24,Knicks,31,51,-3.67,0.39,107.59,111.37,-3.79,2017
529,25,Timberwolves,31,51,-1.11,2.04,110.69,111.85,-1.16,2017
530,26,Magic,29,53,-6.57,-2.29,103.64,110.38,-6.74,2017
531,27,76ers,28,54,-5.68,-2.11,102.95,108.66,-5.71,2017
532,28,Lakers,26,56,-7.02,-0.99,105.30,112.39,-7.09,2017
533,29,Suns,24,58,-5.63,0.88,106.06,111.61,-5.55,2017
534,30,Nets,20,62,-6.73,-3.28,103.44,110.03,-6.58,2017
535,1,Rockets,76,23,7.30,1.08,114.24,106.73,7.51,2018
536,2,Warriors,74,29,6.83,1.27,114.22,107.32,6.91,2018
537,3,Raptors,63,29,6.45,1.52,114.08,107.46,6.61,2018
538,4,Celtics,66,35,3.04,0.29,108.09,104.91,3.17,2018
539,5,76ers,57,35,4.44,5.54,110.02,105.58,4.45,2018
540,6,Cavaliers,62,42,0.35,-1.01,112.52,112.16,0.36,2018
541,7,Pelicans,53,38,1.10,-1.18,109.80,108.72,1.08,2018
542,8,Pacers,51,38,1.72,-0.48,110.16,108.36,1.80,2018
543,9,Jazz,53,40,3.54,1.55,108.31,104.62,3.69,2018
544,10,Trailblazers,49,37,2.06,2.42,109.26,107.13,2.13,2018
545,11,Thunder,50,38,2.89,2.47,110.81,107.83,2.98,2018
546,12,Nuggets,46,36,1.48,2.85,112.94,111.42,1.52,2018
547,13,Timberwolves,48,39,1.60,0.26,113.59,111.93,1.66,2018
548,14,Spurs,48,39,2.22,0.99,108.05,105.71,2.34,2018
549,15,Bucks,47,42,-0.33,-2.96,110.43,110.76,-0.34,2018
550,16,Heat,45,42,-0.17,-0.17,107.11,107.29,-0.18,2018
551,17,Clippers,42,40,0.04,0.28,110.76,110.73,0.04,2018
552,18,Wizards,45,43,0.41,0.53,109.88,109.45,0.42,2018
553,19,Pistons,39,43,-0.15,-0.01,107.72,107.87,-0.15,2018
554,20,Hornets,36,46,0.26,1.76,109.77,109.51,0.26,2018
555,21,Lakers,35,47,-1.55,1.55,106.93,108.46,-1.53,2018
556,22,Knicks,29,53,-3.56,0.85,107.46,111.13,-3.66,2018
557,23,Nets,28,54,-3.76,-2.33,107.45,111.24,-3.79,2018
558,24,Kings,27,55,-6.99,-2.88,104.27,111.64,-7.37,2018
559,25,Bulls,27,55,-7.02,-0.94,104.33,111.45,-7.12,2018
560,26,Magic,25,57,-4.81,-4.20,105.78,110.70,-4.92,2018
561,27,Mavericks,24,58,-3.00,-4.44,106.72,109.85,-3.13,2018
562,28,Hawks,24,58,-5.45,-2.37,105.43,111.00,-5.56,2018
563,29,Grizzlies,22,60,-6.21,-1.93,105.02,111.58,-6.56,2018
564,30,Suns,21,61,-9.37,-1.73,103.98,113.35,-9.37,2018
565,1,Bucks,70,27,8.86,4.80,113.38,104.82,8.56,2019
566,2,Raptors,72,31,5.96,-0.45,112.43,106.49,5.94,2019
567,3,Warriors,70,31,6.14,2.02,116.01,109.95,6.07,2019
568,4,Nuggets,61,35,3.65,3.52,113.20,109.47,3.74,2019
569,5,Rockets,59,34,4.57,-3.02,115.03,110.39,4.64,2019
570,6,Trailblazers,61,37,3.28,3.83,114.02,110.74,3.28,2019
571,7,76ers,58,36,2.73,4.77,112.24,109.56,2.68,2019
572,8,Celtics,54,37,3.88,-0.99,111.25,107.38,3.87,2019
573,9,Jazz,51,36,4.43,3.70,110.28,105.88,4.40,2019
574,10,Thunder,50,37,2.87,2.16,110.03,107.26,2.78,2019
575,11,Spurs,51,38,1.40,0.79,112.86,111.43,1.43,2019
576,12,Clippers,50,38,0.13,-0.66,112.31,112.19,0.12,2019
577,13,Pacers,48,38,2.85,-0.95,109.35,106.44,2.91,2019
578,14,Magic,43,44,-0.15,0.60,108.15,108.31,-0.15,2019
579,15,Nets,43,44,-0.70,-0.33,109.47,110.16,-0.68,2019
580,16,Pistons,41,45,-1.34,0.77,108.39,109.75,-1.36,2019
581,17,Kings,39,43,-1.12,-2.56,110.43,111.52,-1.09,2019
582,18,Hornets,39,43,-1.10,-1.93,111.39,112.49,-1.10,2019
583,19,Heat,39,43,-0.23,2.15,107.33,107.57,-0.24,2019
584,20,Lakers,37,45,-1.72,-0.29,107.83,109.49,-1.66,2019
585,21,Timberwolves,36,46,-1.50,-0.83,111.44,112.93,-1.49,2019
586,22,Pelicans,33,49,-1.33,1.48,111.37,112.65,-1.28,2019
587,23,Grizzlies,33,49,-2.60,-2.89,106.10,108.76,-2.66,2019
588,24,Mavericks,33,49,-1.28,0.44,109.43,110.72,-1.29,2019
589,25,Wizards,32,50,-2.90,-5.00,111.05,113.88,-2.83,2019
590,26,Hawks,29,53,-6.02,0.11,108.15,113.89,-5.75,2019
591,27,Bulls,22,60,-8.42,-3.52,104.80,113.20,-8.40,2019
592,28,Cavaliers,19,63,-9.63,-1.43,107.67,117.60,-9.93,2019
593,29,Suns,19,63,-9.34,-6.74,105.85,115.05,-9.20,2019
594,30,Knicks,17,65,-9.22,-2.67,104.44,113.67,-9.24,2019
